wavelength,spectral_irradiance
514.0,2.05580656944157
515.0,2.0851142333398607
516.0,1.9265657821009217
517.0,1.7131206279516435
518.0,2.07209964567461
519.0,1.99505991486655
520.0,2.082260175851784
521.0,0.7163265089081741
522.0,2.086974315059942
523.0,2.034604167455063
524.0,1.9011804016713632
525.0,2.107849414676031
526.0,2.1023287235413064
527.0,1.7759104321822643
528.0,2.069656142309117
529.0,1.1178926092814934
530.0,1.3156125534635532
531.0,1.986348942258704
532.0,2.07862639122468
533.0,0.5174486930029678
534.0,2.021054183006115
535.0,2.027504190681664
536.0,2.0659908872608783
537.0,1.935635387631784
538.0,2.04229043317891
539.0,1.962725325957356
540.0,2.0228817353004134
541.0,2.045560629540496
542.0,2.036657517523355
543.0,2.024920818777792
544.0,2.0129964364349413
545.0,1.9693261518797167
546.0,2.02488467275123
547.0,1.9944644045831788
548.0,1.50841244197713
549.0,1.986085559810325
550.0,1.9874629052514088
551.0,1.8453141300529756
552.0,1.9805887062707843
553.0,0.5661260014857173
554.0,1.6950845499557556
555.0,1.956189658792659
556.0,1.980842487743064
557.0,1.978797689636833
558.0,1.9427394805364548
559.0,1.9120296045690783
560.0,0.7846894749566317
561.0,1.963125999366764
562.0,1.938263447533668
563.0,1.903037106565304
564.0,1.906294524936848
565.0,1.946312292471435
566.0,1.6901456719782508
567.0,1.8884167881170155
568.0,1.8877684974416256
569.0,1.8283922048713803
570.0,1.671584497517456
571.0,1.0454669117705513
572.0,1.9137092159122109
573.0,1.9247640954956136
574.0,1.915159402889961
575.0,1.6335275470224129
576.0,1.9123051655709065
577.0,1.9004886918054165
578.0,1.7640364524662804
579.0,1.7955046956487513
580.0,1.8870955599316517
581.0,1.8862368470308792
582.0,1.888235188801149
583.0,1.8856217651427447
584.0,1.5946156600771344
585.0,1.8769853025034156
586.0,1.8626636833094468
587.0,1.8679085337052668
588.0,1.8694018501458871
589.0,1.78270166913841
590.0,1.8368343701296803
591.0,1.857211777523775
592.0,1.8550733973747573
593.0,1.839121590384754
594.0,1.840275865488342
